Episode,Reward,Episode Steps,Average Rollout Steps,Reward Std,,,Alpha,0.06
1,5.567564431,94,473.5,9.862288616,,,Runtime,6068.514539
2,2.27118898,67,378.40625,10.17097814,,,,
3,1.90307294,75,124.5,2.702811083,,,,
4,2.145073655,65,73.46875,6.815872363,,,,
5,2.867036173,65,71.25,6.496834893,,,,
6,2.755661166,63,66,2.700938751,,,,
7,2.69199876,63,63.65625,2.076663642,,,,
8,3.207954026,67,174,7.83890276,,,,
9,2.759483056,71,118.09375,2.838344753,,,,
10,-0.167169462,53,263.625,10.31507157,,,,
11,3.186720619,67,56.5,1.298530789,,,,
12,3.426152372,72,71.0625,2.913798374,,,,
13,0.925355132,59,72.03125,2.215589557,,,,
14,1.489960947,58,364.90625,12.14306923,,,,
15,-3.651161322,47,214.75,11.17384275,,,,
16,2.166739476,92,70.84375,1.652034368,,,,
17,2.737335777,70,84.5,6.045988126,,,,
18,2.999230048,66,75.90625,1.085017701,,,,
19,2.317179373,65,65.4375,1.582624312,,,,
20,2.492095985,66,70,1.238261215,,,,
21,3.065656459,84,66.84375,0.800105501,,,,
22,2.971000483,63,85.1875,4.067631792,,,,
23,3.178082505,79,69.53125,3.343934796,,,,
24,2.81232034,65,77.71875,4.541569848,,,,
25,1.182967505,79,64.28125,0.896741547,,,,
26,3.401861401,86,81.15625,2.74909788,,,,
27,4.054135717,78,83.3125,0.802238865,,,,
28,3.592219851,72,83.3125,4.14890229,,,,
29,4.082739154,77,71.5625,0.995531002,,,,
30,3.362757399,68,219.15625,12.83105598,,,,
31,5.480221698,85,72.59375,0.666723968,,,,
32,4.931582195,87,82.34375,1.562936747,,,,
33,3.390359875,84,178.125,8.508460789,,,,
34,4.336111884,99,82.71875,1.214369399,,,,
35,3.951962657,84,91.9375,5.091447533,,,,
36,3.772008663,77,84.46875,5.189993357,,,,
37,3.214414581,84,130.25,3.960730326,,,,
38,4.157321819,75,130.9375,10.77251667,,,,
39,8.870002306,96,75.03125,1.960876382,,,,
40,3.576690485,84,279.96875,16.74646861,,,,
41,9.186389782,108,89.75,3.710353458,,,,
42,7.456928511,104,112.875,8.120191298,,,,
43,9.250980775,113,98.8125,2.715723501,,,,
44,11.20043243,111,110.40625,2.613111693,,,,
45,11.22109478,106,160.90625,13.63272412,,,,
46,10.22357169,120,112.0625,4.690157549,,,,
47,9.252359125,107,181.71875,12.34536807,,,,
48,8.945987134,105,104.3125,2.425467874,,,,
49,8.715330284,113,104.96875,1.979471912,,,,
50,10.12321021,107,114.46875,2.584516935,,,,
51,10.97342713,117,105.5625,2.298779844,,,,
52,7.999425894,118,124.5,7.664100074,,,,
53,9.915388535,112,168.0625,11.08979861,,,,
54,10.87918657,110,102.90625,4.927166604,,,,
55,8.849938195,106,101.15625,2.081644669,,,,
56,8.640771436,98,111.875,6.085088046,,,,
57,-14.13783965,165,101.4375,0.94590744,,,,
58,10.31057038,117,184.34375,20.87524197,,,,
59,12.05585301,137,116.28125,1.479075553,,,,
60,10.38457694,112,115.78125,5.441206655,,,,
61,11.34814425,115,104.875,1.694443592,,,,
62,10.15162226,130,106.65625,1.532398572,,,,
